Unnamed: 0,Year,EVI,Height,HSUS,Immigration,Life Expectancy,Polarization,Wage GDP Ratio,fatalities,riot_economic,riot_political,riot_ethnic,riot_prison,"riot_ethnic, race",riot_race,riot_extralegal,riot_labor,riot_religion,"riot_race, extralegal",riot_education,"riot_political, nativist",riot_section,riot_military,"riot_section, race","riot_race, political","riot_race, labor","riot_political, race",riot_land,riot_race?,riot_criminal,riot_??,riot_personal,"riot_race, economic","riot_labor, race","riot_labor, ethnic","riot_race, military",riot_other,"riot_extralegal, race",riot_shopping,lynching_political,lynching_race,lynching_extralegal,lynching_ethnic,lynching_section,"lynching_race, section","lynching_race, extralegal","lynching_section, race","lynching_race, political","lynching_extralegal, race","lynching_political, race",lynching_religion,lynching_labor,rampage_race,rampage_extralegal,rampage_insane,rampage_family,rampage_education,rampage_criminal,rampage_revenge,rampage_work,rampage_political,rampage_ethnic,rampage_religion,rampage_sex,executions_political,assassination_religion,assassination_political,"assassination_political, race","assassination_race, political",war_indian,terrorism_ethnic,assassination_personal,terrorism_political,assassination_race,terrorism_race,assassination_ethnic,terrorism_religion,insurrection_religion,insurrection_political,mass suicide_religion,assassination_extralegal,"riot_ethnic, labor",riot_indian,"riot_extralegal, ethnic","riot_ethnic, political",lynching_personal,rampage_military,compilation_extralegal,assassination_revenge,?_extralegal,"insurrection_race, political",terrorism_unknown,pa_count,ma_count,ny_count,md_count,nc_count,me_count,il_count,ri_count,mo_count,ms_count,ar_count,ut_count,va_count,la_count,oh_count,tx_count,ca_count,ct_count,ky_count,ks_count,in_count,ga_count,sc_count,tn_count,al_count,fl_count,nj_count,co_count,mn_count,nv_count,wv_count,mt_count,wy_count,wa_count,mi_count,or_count,id_count,nm_count,de_count,vt_count,nh_count,az_count,wi_count,dc_count,ne_count,ok_count,hi_count,sd_count,nd_count,ia_count,ak_count,NA_count
0,1782,25.2786201188067,173.10845391211146,19.25889343241366,1.4969987362704869,55.76884165947767,0.37181106413610765,1.0908899799436342,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1784,25.2786201188067,173.06370252006377,19.004489020681486,1.4969987362704869,56.03536106100611,0.37181106413610765,1.0908899799436342,9.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1787,25.2786201188067,172.97419973596843,19.09835367648925,1.4969987362704869,56.07118543874121,0.37181106413610765,1.0908899799436342,20.0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1788,25.2786201188067,172.92944834392074,18.675440502810954,1.4969987362704869,56.12685279585912,0.37181106413610765,1.0916153846884447,3.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1791,26.453489542659195,172.89215551721432,18.544447380552253,1.5667657584196333,56.063206371613546,0.5326921639499465,1.1462606851221062,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1794,28.33729381346277,172.89215551721432,18.551280646245704,6.839691828971272,55.81856542841956,0.5900433147213214,0.9767303550861376,7.0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1796,30.371957295803384,172.89215551721432,18.551280646245704,8.341955443789866,55.655471466290194,0.6422296068953018,0.987560923643275,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1797,31.426135668355705,172.89215551721432,18.535329192259656,8.394216419669368,55.518233864010654,0.6831329925385198,1.0863099127872944,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,1799,33.705872716712406,172.89215551721432,18.53553449603873,8.393999465920826,55.188863618539656,0.6913275426689028,0.8949093088604081,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1801,36.101046868470384,172.8923956942133,18.74384490536972,8.394216419669368,54.89370332610076,0.6831226550360656,1.180416360169096,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
